Trialn,Blockn,Partner,IsFairBlock,Offer,ITI,PartnerKeeps
1,1,1,0,2,8,18
2,1,1,0,4,0.75,16
3,1,1,0,1,0.75,19
4,1,1,0,5,0.75,15
5,1,1,0,8,0.75,12
6,1,1,0,1,0.75,19
7,1,1,0,4,0.75,16
8,1,1,0,2,0.75,18
9,2,2,1,9,10,11
10,2,2,1,9,0.75,11
11,2,2,1,8,0.75,12
12,2,2,1,6,0.75,14
13,2,2,1,10,0.75,10
14,2,2,1,8,0.75,12
15,2,2,1,9,0.75,11
16,2,2,1,1,0.75,19
17,3,2,0,3,8,17
18,3,2,0,3,0.75,17
19,3,2,0,1,0.75,19
20,3,2,0,2,0.75,18
21,3,2,0,10,0.75,10
22,3,2,0,2,0.75,18
23,3,2,0,4,0.75,16
24,3,2,0,5,0.75,15
25,4,1,0,3,10,17
26,4,1,0,4,0.75,16
27,4,1,0,3,0.75,17
28,4,1,0,3,0.75,17
29,4,1,0,1,0.75,19
30,4,1,0,6,0.75,14
31,4,1,0,1,0.75,19
32,4,1,0,7,0.75,13
33,5,1,1,6,10,14
34,5,1,1,9,0.75,11
35,5,1,1,8,0.75,12
36,5,1,1,10,0.75,10
37,5,1,1,4,0.75,16
38,5,1,1,9,0.75,11
39,5,1,1,9,0.75,11
40,5,1,1,8,0.75,12
41,6,2,1,9,8,11
42,6,2,1,8,0.75,12
43,6,2,1,9,0.75,11
44,6,2,1,7,0.75,13
45,6,2,1,3,0.75,17
46,6,2,1,10,0.75,10
47,6,2,1,10,0.75,10
48,6,2,1,5,0.75,15
49,7,1,1,10,8,10
50,7,1,1,10,0.75,10
51,7,1,1,10,0.75,10
52,7,1,1,9,0.75,11
53,7,1,1,3,0.75,17
54,7,1,1,8,0.75,12
55,7,1,1,5,0.75,15
56,7,1,1,9,0.75,11
57,8,1,1,8,8,12
58,8,1,1,9,0.75,11
59,8,1,1,6,0.75,14
60,8,1,1,10,0.75,10
61,8,1,1,10,0.75,10
62,8,1,1,7,0.75,13
63,8,1,1,1,0.75,19
64,8,1,1,9,0.75,11
65,9,1,1,7,12,13
66,9,1,1,9,0.75,11
67,9,1,1,9,0.75,11
68,9,1,1,7,0.75,13
69,9,1,1,9,0.75,11
70,9,1,1,4,0.75,16
71,9,1,1,5,0.75,15
72,9,1,1,7,0.75,13
