Trialn,Blockn,Partner,IsFairBlock,Offer,ITI
1,1,3,0,3,1
2,1,3,0,1,1
3,1,3,0,1,1
4,1,3,0,4,1
5,1,3,0,6,1
6,1,3,0,9,1
7,1,3,0,4,1
8,1,3,0,2,10
9,2,2,1,5,1
10,2,2,1,10,1
11,2,2,1,9,1
12,2,2,1,8,1
13,2,2,1,1,1
14,2,2,1,9,1
15,2,2,1,7,1
16,2,2,1,7,8
17,3,3,1,8,1
18,3,3,1,8,1
19,3,3,1,10,1
20,3,3,1,9,1
21,3,3,1,1,1
22,3,3,1,9,1
23,3,3,1,7,1
24,3,3,1,5,12
25,4,2,1,8,1
26,4,2,1,7,1
27,4,2,1,8,1
28,4,2,1,8,1
29,4,2,1,10,1
30,4,2,1,6,1
31,4,2,1,10,1
32,4,2,1,4,8
33,5,1,0,3,1
34,5,1,0,1,1
35,5,1,0,1,1
36,5,1,0,9,1
37,5,1,0,2,1
38,5,1,0,3,1
39,5,1,0,6,1
40,5,1,0,1,12
41,6,2,0,6,1
42,6,2,0,2,1
43,6,2,0,3,1
44,6,2,0,1,1
45,6,2,0,7,1
46,6,2,0,2,1
47,6,2,0,2,1
48,6,2,0,3,10
49,7,3,0,2,1
50,7,3,0,3,1
51,7,3,0,2,1
52,7,3,0,4,1
53,7,3,0,8,1
54,7,3,0,1,1
55,7,3,0,1,1
56,7,3,0,5,12
57,8,3,1,7,1
58,8,3,1,2,1
59,8,3,1,8,1
60,8,3,1,7,1
61,8,3,1,8,1
62,8,3,1,9,1
63,8,3,1,7,1
64,8,3,1,6,8
65,9,1,0,3,1
66,9,1,0,2,1
67,9,1,0,6,1
68,9,1,0,1,1
69,9,1,0,1,1
70,9,1,0,4,1
71,9,1,0,10,1
72,9,1,0,2,8
73,10,1,1,10,1
74,10,1,1,7,1
75,10,1,1,4,1
76,10,1,1,8,1
77,10,1,1,10,1
78,10,1,1,10,1
79,10,1,1,8,1
80,10,1,1,6,8
81,11,2,0,10,1
82,11,2,0,5,1
83,11,2,0,1,1
84,11,2,0,3,1
85,11,2,0,2,1
86,11,2,0,3,1
87,11,2,0,3,1
88,11,2,0,4,8
89,12,1,1,7,1
90,12,1,1,9,1
91,12,1,1,5,1
92,12,1,1,10,1
93,12,1,1,10,1
94,12,1,1,7,1
95,12,1,1,2,1
96,12,1,1,7,10
